track_name	size_bytes	price	rating_count_tot	sup_devices.num	ipadSc_urls.num	lang.num	vpp_lic	currency_USD	cont_rating_12+	cont_rating_17+	cont_rating_4+	cont_rating_9+	prime_genre_Book	prime_genre_Business	prime_genre_Catalogs	prime_genre_Education	prime_genre_Entertainment	prime_genre_Finance	prime_genre_Food & Drink	prime_genre_Games	prime_genre_Health & Fitness	prime_genre_Lifestyle	prime_genre_Medical	prime_genre_Music	prime_genre_Navigation	prime_genre_News	prime_genre_Photo & Video	prime_genre_Productivity	prime_genre_Reference	prime_genre_Shopping	prime_genre_Social Networking	prime_genre_Sports	prime_genre_Travel	prime_genre_Utilities	prime_genre_Weather	user_rating
PAC-MAN Premium	-0.2738061525998638	0.38812569422131665	0.11090232334404741	0.17075322131742407	0.6510506680574688	0.576470774894817	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Evernote - stay organized	-0.11291147841716372	-0.2959602425094711	1.9564766942338945	-0.0968084886371818	0.6510506680574688	2.2180833808888507	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4.0
WeatherBug - Local Weather, Radar, Maps, Alerts	-0.2745416906595976	-0.2959602425094711	2.319826665531261	-0.0968084886371818	0.6510506680574688	-0.30747447448658577	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.0
eBay: Best App to Buy, Sell, Save! Online Shopping	-0.19662027109120936	-0.2959602425094711	3.292413052108099	-0.0968084886371818	0.6510506680574688	0.4501928821260452	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4.0
Bible	-0.2961174737451223	-0.2959602425094711	12.847931035918947	-0.0968084886371818	0.6510506680574688	4.996197021801831	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4.0
Shanghai Mahjong	-0.5252177537461132	-0.1262246341476967	-0.06126572214422797	2.578808610908877	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
PayPal - Send and request money safely	0.0797966423103792	-0.2959602425094711	1.407477308137452	-0.0968084886371818	-1.8667417328074443	1.7129718098137634	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Pandora - Music & Radio	-0.19180221170768175	-0.2959602425094711	14.709165449906354	-0.0968084886371818	0.14749218788448623	-0.5600302600241294	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.0
PCalc - The Best Calculator	-0.4172930927021973	1.4168263509593433	-0.15549006240071492	-0.0968084886371818	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.0
Ms. PAC-MAN	-0.35945927456359333	0.38812569422131665	-0.06612482489288088	0.17075322131742407	-1.8667417328074443	0.576470774894817	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Solitaire by MobilityWare	-0.41626676052582456	0.5595758036776545	0.8427782666927803	0.17075322131742407	0.14749218788448623	0.7027486676635888	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
SCRABBLE Premium	0.07910386809132759	1.0739261320466678	1.2264361184994625	-0.0968084886371818	-1.8667417328074443	0.07135920381972971	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Google – Search made just for mobile	-0.05333004465601394	-0.2959602425094711	6.160326796414251	-0.0968084886371818	0.14749218788448623	3.480862308576569	0.08364175006200619	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.0
Bank of America - Mobile Banking	-0.10637716356092393	-0.2959602425094711	1.411253676034503	-0.0968084886371818	-1.8667417328074443	-0.4337523672553576	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
FreeCell	-0.40085752326667273	0.5595758036776545	-0.08652513398708946	0.17075322131742407	0.6510506680574688	-0.4337523672553576	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
TripAdvisor Hotels Flights Restaurants	0.024426021395069802	-0.2959602425094711	0.5717512476198192	-0.0968084886371818	-1.3631832526344616	2.596917059195166	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4.0
Facebook	0.5310549438024885	-0.2959602425094711	39.107631432658	-0.0968084886371818	-1.3631832526344616	2.975750737501482	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4.0
Yelp - Nearby Restaurants, Shopping & Services	-0.08833082279303656	-0.2959602425094711	2.785957223229482	-0.0968084886371818	0.6510506680574688	1.5866939170449916	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4.0
Shazam - Discover music, artists, videos & lyrics	-0.1448874275565989	-0.2959602425094711	5.1500163431175725	-0.0968084886371818	-0.35606629228849634	1.3341381315074479	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.0
Crash Bandicoot Nitro Kart 3D	-0.5245236403729361	0.2166755847649789	0.2451086286084719	2.578808610908877	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
iQuran	-0.3575528647732643	0.04522547530864108	-0.13156426299702176	1.5085617710904535	-1.8667417328074443	-0.4337523672553576	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4.0
:) Sudoku +	-0.5372342621249129	0.2166755847649789	-0.019091879265974148	0.7058766412266358	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0
Yahoo Sports - Teams, Scores, News & Highlights	-0.19085285444453698	-0.2959602425094711	1.6512775069176895	-0.0968084886371818	-0.859624772461479	0.07135920381972971	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4.0
Mileage Log | Fahrtenbuch	-0.35617216067648844	0.7310259131339921	-0.17013339106445427	-0.0968084886371818	0.6510506680574688	-0.30747447448658577	0.08364175006200619	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Cleartune - Chromatic Tuner	-0.5226082267895885	0.38812569422131665	-0.12744458892751168	1.5085617710904535	-0.859624772461479	0.576470774894817	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.0
Lifesum – Inspiring healthy lifestyle app	-0.03095030136566388	-0.2959602425094711	-0.09372135952517596	-0.0968084886371818	0.6510506680574688	0.7027486676635888	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Hangman.	-0.5411428771632657	-0.2959602425094711	0.38850497602795736	0.17075322131742407	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0
iTranslate - Language Translator & Dictionary	0.24722563134931905	-0.2959602425094711	1.4567021316346749	-0.0968084886371818	0.6510506680574688	2.2180833808888507	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4.0
TouchOSC	-0.5425398292922174	0.5595758036776545	-0.1599134303920158	1.5085617710904535	-1.3631832526344616	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.0
RadarScope	-0.07339483870410103	1.4168263509593433	-0.12469813954783829	-0.0968084886371818	0.6510506680574688	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.0
LinkedIn	0.2079997857528953	-0.2959602425094711	0.7785536042758027	-0.0968084886371818	-0.859624772461479	2.2180833808888507	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4.0
Period Tracker Deluxe	-0.4424439328687538	0.04522547530864108	0.006035491741326109	0.17075322131742407	-1.8667417328074443	1.207860238738676	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Election 2016 Map	-0.547765570623582	-0.1262246341476967	-0.16843006428571453	-0.0968084886371818	-1.3631832526344616	-0.5600302600241294	0.08364175006200619	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0
Blackjack by MobilityWare	-0.26088006902299155	-0.2959602425094711	2.207644771638448	-0.0968084886371818	0.6510506680574688	-0.05491868894904211	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
White Noise	-0.43155055718564195	-0.1262246341476967	0.2711206732140323	-0.0968084886371818	0.6510506680574688	-0.30747447448658577	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
iHeartRadio – Free Music & Radio Stations	-0.23022124617656803	-0.2959602425094711	3.7015679892616524	-0.0968084886371818	0.6510506680574688	-0.4337523672553576	0.08364175006200619	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.0
Line Rider iRide™	-0.5498267877444639	0.04522547530864108	0.11508801783133811	0.7058766412266358	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0
Deliveries: a package tracker	-0.47084197400444505	0.5595758036776545	-0.10839109635602756	-0.0968084886371818	0.14749218788448623	0.4501928821260452	0.08364175006200619	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.0
Hurricane Pro	-0.4722275224425483	0.2166755847649789	-0.14245763193082245	-0.0968084886371818	-1.8667417328074443	-0.5600302600241294	0.08364175006200619	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.0
