,LotFrontage,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,YearsSinceBuilt,YearsSinceRemodeling,YearsSincegarageBuilt
0,65.0,196.0,706,856,856,854,1710,2,8,0,2,548,0,61,208500,22,22,22.0
1,80.0,0.0,978,1262,1262,0,1262,2,6,1,2,460,298,0,181500,49,49,49.0
2,68.0,162.0,486,920,920,866,1786,2,6,1,2,608,0,42,223500,24,23,24.0
3,60.0,0.0,216,756,961,756,1717,1,7,1,3,642,0,35,140000,110,55,27.0
4,84.0,350.0,655,1145,1145,1053,2198,2,9,1,3,836,192,84,250000,25,25,25.0
5,85.0,0.0,732,796,796,566,1362,1,5,0,2,480,40,30,143000,32,30,32.0
6,75.0,186.0,1369,1686,1694,0,1694,2,7,1,2,636,255,57,307000,21,20,21.0
8,51.0,0.0,0,952,1022,752,1774,2,8,2,2,468,90,0,129900,94,75,94.0
9,50.0,0.0,851,991,1077,0,1077,1,5,2,1,205,0,4,118000,86,75,86.0
10,70.0,0.0,906,1040,1040,0,1040,1,5,0,1,384,0,0,129500,60,60,60.0
11,85.0,286.0,998,1175,1182,1142,2324,3,11,2,3,736,147,21,345000,20,19,20.0
13,91.0,306.0,0,1494,1494,0,1494,2,7,1,3,840,160,33,279500,19,18,19.0
15,51.0,0.0,0,832,854,0,854,1,5,0,2,576,48,112,132000,96,24,34.0
17,72.0,0.0,0,0,1296,0,1296,2,6,0,2,516,0,0,90000,58,58,58.0
18,66.0,0.0,646,1114,1114,0,1114,1,6,0,2,576,0,102,159000,21,21,21.0
19,70.0,0.0,504,1029,1339,0,1339,1,6,0,1,294,0,0,139000,67,60,67.0
20,101.0,380.0,0,1158,1158,1218,2376,3,9,1,3,853,240,154,325300,20,19,20.0
21,57.0,0.0,0,637,1108,0,1108,1,6,1,1,280,0,0,139400,95,75,95.0
22,75.0,281.0,0,1777,1795,0,1795,2,7,1,2,534,171,159,230000,23,23,23.0
